to_keep	game	platforms	editor	developer	gender	Source explication	Source nom	Source lien	Autre source	Autre source	type	Multijoueur	Date de sortie
1	13 Sentinels: Aegis RIM	Vita, PS4	Atlus	Vanillaware	Multi (choix)	Parmi les 13 Sentinelles jouables, certaines sont masculines et d'autres féminines.	Site officiel d'Atlus	https://atlus.com/13sentinels/	http://www.jeuxvideo.com/videos/983674/13-sentinels-aegis-rim-un-trailer-pour-le-prologue-en-approche.htm	https://twinfinite.net/2019/03/vanillawares-13-sentinels-aegis-rim-for-ps4-gets-new-clips-showing-characters-in-motion/	aventure / narratif	no	2019
0 (DLC/update)	2064: Read Only Memories	PS4, Xbox One, PC	MidBoss LLC	MidBoss LLC									
1	A Duel Hand Disaster: Trackher	PS4, Xbox One, PC	Ask An Enemy Studios	Ask An Enemy Studios	N/a	Le joueur contrôle de petits vaisseaux.	A Duel Hand Disaster: Trackher - Playstation Announcement | PS4 (Youtube)	https://www.youtube.com/watch?v=RJfUGZTvaF8	https://www.youtube.com/watch?v=yWHsmL3THzI	https://www.youtube.com/watch?v=YTll0Swb1Ig	action / Shoot'em Up	no	29/08/2017
0 (2016)	Absolver	Xbox One, PS4, PC	Devolver Digital	Slocalap	Multi (choix + personnalisation)	Le joueur peut choisir le genre de l'Aspirant qu'il incarne.	Absolver - Character Customization (Youtube)	https://www.youtube.com/watch?v=V-t-NVdIZ4w	https://www.youtube.com/watch?v=6H0QrUVVkLc	https://store.steampowered.com/app/473690/Absolver/?l=french	action / rpg / combat / exploration / Monde ouvert / Aventure / MMORPG / Stratégie	yes	29/08/2017
0 (offsite)	Aegis Defenders *	PC											
0 (offsite)	Aerea *	PS4, Xbox One, PC											
0 (offsite)	Aftercharge *	Xbox One, PC											
0 (2016)	Agents of Mayhem	PS4, Xbox One, PC	Deep Silver Volition	Deep Silver Volition	Multi (choix)	Des agents masculins et féminins sont disponibles.	Xbox mag	http://xbox-mag.net/2017/05/09/agents-of-mayhem-devoile-ses-personnages-en-video/	https://jeu.video/action-aventure/agents-of-mayhem/debloquer-agents-vehicules	http://www.deepsilver.com/fr/games/agents-of-mayhem/	action / monde ouvert / comédie / troisième personne / humour / tir / aventure / science-fiction 	yes	15/08/2017
0 (offsite)	A Hat in Time *	PC											
0 (offsite)	Anamorphine *	PC											
